doc_id,doc_url,doc_url_serverless,previous_version_doc_url,description
azureopenai-quota-limits,https://learn.microsoft.com/en-us/azure/ai-services/openai/quotas-limits,[use-doc-url],,More about quotas and limits
behavioral-analytics-collection-event,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-search-application-post-behavioral-analytics-event,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/post-analytics-collection-event.html,About creating a behavioral
behavioral-analytics-event-reference,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/behavioral-analytics-event-reference.html,[use-doc-url],,About behavioral analytics events
byte-units,https://www.elastic.co/docs/reference/elasticsearch/rest-apis/api-conventions#byte-units,[use-doc-url],,About Elasticsearch API
bytes-processor,https://www.elastic.co/docs/reference/enrich-processor/bytes-processor,[use-doc-url],,More about bytes processors
calendar-and-fixed-intervals,https://www.elastic.co/docs/reference/aggregations/search-aggregations-bucket-datehistogram-aggregation#calendar_and_fixed_intervals,[use-doc-url],,About date histogram aggregation
capabilities,https://github.com/elastic/elasticsearch/blob/main/rest-api-spec/src/yamlRestTest/resources/rest-api-spec/test/README.asciidoc#require-or-skip-api-capabilities,[use-doc-url],,About skipping API capabilities
cat-alias,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-aliases,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cat-aliases,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-alias.html,Learn more about aliases
cat-allocation,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-allocation,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-allocation.html,About shard allocation
cat-anomaly-detectors,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-ml-jobs,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cat-ml-jobs,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-anomaly-detectors.html,More about anomaly detection jobs
cat-circuit-breaker,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-circuit-breaker,,,About circuit breakers statistics
cat-component-templates,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-component-templates,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cat-component-templates,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-component-templates.html,More about component templates
cat-count,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-count,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cat-count,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-count.html,More about getting document count
cat-datafeeds,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-ml-datafeeds,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cat-ml-datafeeds,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-datafeeds.html,Learn more about datafeeds
cat-dfanalytics,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-ml-data-frame-analytics,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cat-ml-data-frame-analytics,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-dfanalytics.html,About data frame analytics jobs
cat-fielddata,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-fielddata,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-fielddata.html,More about field data cache
cat-health,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-health,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-health.html,More about cluster health status
cat-indices,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-indices,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cat-indices,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-indices.html,More about getting indices
cat-master,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-master,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-master.html,More about getting master nodes
cat-nodeattrs,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-nodeattrs,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-nodeattrs.html,About getting node attributes
cat-nodes,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-nodes,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-nodes.html,Learn more about nodes
cat-pending-tasks,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-pending-tasks,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-pending-tasks.html,Learn more about pending tasks
cat-plugins,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-plugins,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-plugins.html,Learn more about plugins
cat-recovery,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-recovery,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-recovery.html,More about shard recovery
cat-repositories,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-repositories,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-repositories.html,More about snapshot repositories
cat-segments,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-segments,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-segments.html,Learn more about segments
cat-shards,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-shards,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-shards.html,Learn more about shards
cat-snapshots,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-snapshots,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-snapshots.html,Learn more about snapshots
cat-tasks,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-tasks,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-tasks.html,Learn more about tasks
cat-templates,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-templates,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-templates.html,More about index templates
cat-thread-pool,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-thread-pool,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-thread-pool.html,More about thread pool statistics
cat-trained-model,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-ml-trained-models,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cat-ml-trained-models,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-trained-model.html,More about trained models
cat-transforms,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cat-transforms,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cat-transforms,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat-transforms.html,More about transform information
cat,https://www.elastic.co/docs/api/doc/elasticsearch/group/endpoint-cat,[use-doc-url],https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cat.html,Learn more about CAT
ccr,https://www.elastic.co/docs/deploy-manage/tools/cross-cluster-replication,[use-doc-url],,About cross-cluster replication
ccr-auto-follow,https://www.elastic.co/docs/deploy-manage/tools/cross-cluster-replication/manage-auto-follow-patterns,[use-doc-url],,More about auto-follow patterns
ccr-delete-auto-follow-pattern,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-delete-auto-follow-pattern,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-delete-auto-follow-pattern.html,About deleting auto-follow
ccr-get-auto-follow-pattern,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-get-auto-follow-pattern-1,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-get-auto-follow-pattern.html,More about auto-follow patterns
ccr-get-follow-info,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-follow-info,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-get-follow-info.html,More about follower information
ccr-get-follow-stats,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-follow-stats,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-get-follow-stats.html,More about follower stats
ccr-get-stats,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-stats,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-get-stats.html,About cross-cluster replication
ccr-pause-auto-follow-pattern,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-pause-auto-follow-pattern,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-pause-auto-follow-pattern.html,About pausing an auto-follow
ccr-post-forget-follower,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-forget-follower,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-post-forget-follower.html,More about forgetting a follower
ccr-post-pause-follow,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-pause-follow,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-post-pause-follow.html,More about pausing a follower
ccr-post-resume-follow,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-resume-follow,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-post-resume-follow.html,More about resuming a follower
ccr-post-unfollow,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-unfollow,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-post-unfollow.html,More about unfollowing an index
ccr-put-auto-follow-pattern,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-put-auto-follow-pattern,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-put-auto-follow-pattern.html,More about auto-follow patterns
ccr-put-follow,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-follow,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-put-follow.html,More about creating a follower
ccr-resume-auto-follow-pattern,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ccr-resume-auto-follow-pattern,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/ccr-resume-auto-follow-pattern.html,About resuming an auto-follow
ccs-network-delays,https://www.elastic.co/docs/solutions/search/cross-cluster-search#ccs-network-delays,[use-doc-url],,More about cross-cluster search
ccs-privileges,https://www.elastic.co/docs/deploy-manage/remote-clusters/remote-clusters-cert#remote-clusters-privileges-ccs,[use-doc-url],,About adding remote clusters
cef-processor,https://www.elastic.co/docs/reference/enrich-processor/cef-processor,[use-doc-url],,Learn more about CEF processor
chunking-strategies,https://www.elastic.co/docs/explore-analyze/elastic-inference/inference-api#chunking-strategies,[use-doc-url],,More about inference integrations
clean-up-snapshot-repo,https://www.elastic.co/docs/deploy-manage/tools/snapshot-and-restore/self-managed#snapshots-repository-cleanup,[use-doc-url],,About managing snapshot
clear-repositories-metering-archive-api,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-nodes-clear-repositories-metering-archive,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/clear-repositories-metering-archive-api.html,About clearing the archived
clear-scroll-api,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-clear-scroll,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-clear-scroll,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/clear-scroll-api.html,About clearing a scrolling search
clear-trained-model,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-ml-clear-trained-model-deployment-cache,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/clear-trained-model-deployment-cache.html,About clearing trained model
cluster-allocation-explain,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-allocation-explain,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-allocation-explain.html,About explaining the shard
cluster-allocation-explain-examples,https://www.elastic.co/docs/troubleshoot/elasticsearch/cluster-allocation-api-examples,[use-doc-url],,About using the cluster
cluster-get-settings,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-get-settings,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-get-settings.html,More about cluster-wide settings
cluster-health,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-health,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-health.html,About the cluster health status
cluster-info,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-info,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-cluster-info,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-info.html,Learn more about cluster info
cluster-name,https://www.elastic.co/docs/deploy-manage/deploy/self-managed/important-settings-configuration##_cluster_name_setting,[use-doc-url],,Learn more about cluster name
cluster-nodes-hot-threads,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-nodes-hot-threads,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-nodes-hot-threads.html,About the hot threads for nodes
cluster-nodes-info,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-nodes-info,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-nodes-info.html,More about node information
cluster-nodes-reload-secure-settings,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-nodes-reload-secure-settings,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-nodes-reload-secure-settings.html,About reloading the keystore on
cluster-nodes-stats,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-nodes-stats,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-nodes-stats.html,More about node statistics
cluster-nodes-usage,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-nodes-usage,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-nodes-usage.html,About feature usage information
cluster-nodes,https://www.elastic.co/docs/reference/elasticsearch/rest-apis/api-conventions#cluster-nodes,[use-doc-url],,About Elasticsearch API
cluster-pending,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-pending-tasks,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-pending.html,More about pending cluster tasks
cluster-ping,https://www.elastic.co/docs/api/doc/elasticsearch/group/endpoint-cluster,[use-doc-url],https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster.html,Learn more about clusters
cluster-remote-info,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-cluster-remote-info,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/cluster-remote-info.html,About remote cluster information
